縣市,辦理單位,據點名稱,服務區域
雲林縣,社團法人雲林縣婦幼關懷協會,"雲林縣北港區新住民社區服務據
點",北港區
新竹市,新竹市北區康樂社區發展協會,新竹市北區新住民社區服務據點,
新竹市,新竹市外籍配偶關懷協會,新竹市香山區社區服務據點,
彰化縣,財團法人伊甸社會福利基金會,"彰化縣田中區新住民社區服務據
點",
彰化縣,社團法人彰化縣生命線協會,"彰化縣彰化區新住民社區服務據
點",彰化市、花壇鄉、芬園鄉、和美鎮、線西鄉、伸港鄉、秀水鄉
彰化縣,社團法人彰化縣新移民協會,"彰化縣員林區新住民社區服務據
點",大村鄉、員林市、永靖鄉、社頭鄉、田尾鄉、埔心鄉
彰化縣,彰化縣鹿港至誠慈善會,"彰化縣鹿港區新住民社區服務據
點",
彰化縣,社團法人彰化縣新移民協會,"彰化縣永靖區新住民社區服務據
點",彰化市、和美鎮、線西鄉、花壇鄉、員林市、田中鎮、埔心鄉、永靖鄉、社頭鄉
彰化縣,彰化縣基督教青年會,"彰化縣芳苑區新住民社區服務據
點",鹿港鎮、福興鄉、芳苑鄉、二林鎮、竹塘鄉、大城鄉
嘉義市,財團法人雙福社會福利慈善事業基金會,嘉義市西區同心園新住民社區服務據點,
嘉義市,嘉義市欣願福利協會,嘉義市新住民社區服務據點,
嘉義市,嘉義市興仁社區發展協會,嘉義市新住民社區服務據點,
宜蘭縣,財團法人天主教善牧社會福利基金會,新住民家庭宜蘭市社區服務據點,宜蘭市
宜蘭縣,財團法人天主教善牧社會福利基金會,新住民家庭宜蘭縣員山鄉社區服務,員山鄉
宜蘭縣,財團法人北部臺灣基督長老教會羅東教,大南澳新住民社區服務據點,
宜蘭縣,社團法人宜蘭縣新住民關懷協會,108年新住民家庭服務蘇澳鎮據點,蘇澳鎮
宜蘭縣,財團法人宜蘭縣私立蘭馨婦幼中心,馨娘家羅東鎮新住民服務據點,羅東鄉
宜蘭縣,社團法人宜蘭縣宜萱婦幼關懷協會,新住民社區服務據點,羅東鄉
臺南市,社團法人世界和平會,"臺南市大新營區新住民社區服務
據點",新營區、柳營區、鹽水區
臺南市,,後壁新住民家庭服務據點計畫,
臺南市,臺南市合作運動推展協會,106年度學甲、將軍、佳里新住民社區服務據點,
臺南市,臺南市玉井區玉田社區發展協會,"新住民家庭關懷服務據點─你是我
的伙伴",玉井區、左鎮區、楠西區、南化區
臺南市,臺南市蓮香養生協會,臺南市白河區新住民社區服務據點,白河區
臺南市,社團法人台南市新住民關懷服務協會,府城新住民社區服務據點,南區、安平區、中西區
臺南市,臺南市神州新住民文化交流協會,臺南市東區新住民社區服務據點,東區
南投縣,社團法人南投縣家長關懷教育協會,南投縣南投市新住民社區服務據點,南投市、中寮鄉、集集鎮
南投縣,社團法人南投縣家長關懷教育協會,南投縣南投市新住民社區服務據點,南投市、中寮鄉、集集鎮
南投縣,社團法人南投縣愛鄉文教協會,南投縣草屯鎮新住民社區服務據點,草屯鎮
南投縣,社團法人南投縣社會福利工作協會,南投縣竹山鎮新住民社區服務據點,竹山鎮
南投縣,南投縣樂活婦女關懷協會,南投縣埔里鎮新住民社區服務據點,埔里鎮
連江縣,社團法人南投縣新媳婦關懷協會,南投縣名間鄉新住民社區服務據點,名間鄉
